Month,Year,Country,Departures
May,2024,  North East Asia,748136.0
May,2024,    Mainland China,327809.0
May,2024,    Hong Kong,92920.0
May,2024,    Japan,149748.0
May,2024,  South Asia,290573.0
May,2024,  Middle East,74676.0
May,2024,  Oceania,271878.0
May,2024,  Europe,223693.0
May,2024,    France,26116.0
May,2024,    Germany,47182.0
May,2024,    United Kingdom,70077.0
May,2024,  North America,57356.0
May,2024,  Other Regions,9352.0
Apr,2024,Number Of Air Passenger Departures,2625504.0
Apr,2024,  South East Asia,1039785.0
Apr,2024,    Indonesia,305947.0
Apr,2024,    Malaysia,256967.0
Apr,2024,    Philippines,119414.0
Apr,2024,    Thailand,224240.0
Apr,2024,    Vietnam,88687.0
Apr,2024,  North East Asia,688797.0
Apr,2024,    Mainland China,283889.0
Apr,2024,    Hong Kong,94171.0
Apr,2024,    Japan,134794.0
Apr,2024,  South Asia,254262.0
Apr,2024,  Middle East,75063.0
Apr,2024,  Oceania,278029.0
Apr,2024,  Europe,224894.0
Apr,2024,    France,26768.0
Apr,2024,    Germany,47381.0
Apr,2024,    United Kingdom,70156.0
Apr,2024,  North America,55518.0
Apr,2024,  Other Regions,9156.0
Mar,2024,Number Of Air Passenger Departures,2846893.0
Mar,2024,  South East Asia,1147127.0
Mar,2024,    Indonesia,297830.0
Mar,2024,    Malaysia,295187.0
Mar,2024,    Philippines,144936.0
Mar,2024,    Thailand,256193.0
Mar,2024,    Vietnam,106501.0
Mar,2024,  North East Asia,798514.0
Mar,2024,    Mainland China,330380.0
Mar,2024,    Hong Kong,101369.0
Mar,2024,    Japan,160871.0
Mar,2024,  South Asia,265088.0
Mar,2024,  Middle East,78800.0
Mar,2024,  Oceania,289969.0
Mar,2024,  Europe,203934.0
Mar,2024,    France,24462.0
Mar,2024,    Germany,41993.0
Mar,2024,    United Kingdom,62452.0
Mar,2024,  North America,52304.0
Mar,2024,  Other Regions,11157.0
Feb,2024,Number Of Air Passenger Departures,2668973.0
Feb,2024,  South East Asia,1043571.0
Feb,2024,    Indonesia,279107.0
Feb,2024,    Malaysia,273053.0
Feb,2024,    Philippines,116456.0
Feb,2024,    Thailand,231796.0
Feb,2024,    Vietnam,97902.0
Feb,2024,  North East Asia,763042.0
Feb,2024,    Mainland China,342416.0
Feb,2024,    Hong Kong,97038.0
Feb,2024,    Japan,132788.0
Feb,2024,  South Asia,247990.0
Feb,2024,  Middle East,73513.0
Feb,2024,  Oceania,304601.0
Feb,2024,  Europe,182060.0
Feb,2024,    France,21397.0
Feb,2024,    Germany,38036.0
Feb,2024,    United Kingdom,55856.0
Feb,2024,  North America,44525.0
Feb,2024,  Other Regions,9671.0
Jan,2024,Number Of Air Passenger Departures,2545159.0
Jan,2024,  South East Asia,1023890.0
Jan,2024,    Indonesia,297301.0
Jan,2024,    Malaysia,252721.0
Jan,2024,    Philippines,121529.0
Jan,2024,    Thailand,215777.0
Jan,2024,    Vietnam,91137.0
Jan,2024,  North East Asia,591775.0
Jan,2024,    Mainland China,222956.0
Jan,2024,    Hong Kong,85169.0
Jan,2024,    Japan,123860.0
Jan,2024,  South Asia,268447.0
Jan,2024,  Middle East,69361.0
Jan,2024,  Oceania,340842.0
Jan,2024,  Europe,186372.0
Jan,2024,    France,22116.0
Jan,2024,    Germany,38031.0
Jan,2024,    United Kingdom,57803.0
Jan,2024,  North America,52692.0
Jan,2024,  Other Regions,11780.0
Dec,2023,Number Of Air Passenger Departures,2861776.0
Dec,2023,  South East Asia,1163465.0
Dec,2023,    Indonesia,295598.0
Dec,2023,    Malaysia,309565.0
Dec,2023,    Philippines,147852.0
Dec,2023,    Thailand,243950.0
Dec,2023,    Vietnam,114660.0
Dec,2023,  North East Asia,752706.0
Dec,2023,    Mainland China,271750.0
Dec,2023,    Hong Kong,112413.0
Dec,2023,    Japan,158438.0
Dec,2023,  South Asia,305783.0
Dec,2023,  Middle East,84249.0
Dec,2023,  Oceania,304852.0
Dec,2023,  Europe,190201.0
Dec,2023,    France,23670.0
Dec,2023,    Germany,35955.0
Dec,2023,    United Kingdom,59844.0
Dec,2023,  North America,50243.0
Dec,2023,  Other Regions,10277.0
Nov,2023,Number Of Air Passenger Departures,2603008.0
Nov,2023,  South East Asia,1064679.0
Nov,2023,    Indonesia,278285.0
Nov,2023,    Malaysia,270932.0
Nov,2023,    Philippines,128161.0
Nov,2023,    Thailand,234213.0
Nov,2023,    Vietnam,103383.0
Nov,2023,  North East Asia,652422.0
Nov,2023,    Mainland China,206778.0
Nov,2023,    Hong Kong,93838.0
Nov,2023,    Japan,150729.0
Nov,2023,  South Asia,289537.0
Nov,2023,  Middle East,77749.0
Nov,2023,  Oceania,286274.0
Nov,2023,  Europe,177025.0
Nov,2023,    France,22408.0
Nov,2023,    Germany,35994.0
Nov,2023,    United Kingdom,53430.0
Nov,2023,  North America,46950.0
Nov,2023,  Other Regions,8372.0
Oct,2023,Number Of Air Passenger Departures,2526293.0
Oct,2023,  South East Asia,1004625.0
Oct,2023,    Indonesia,293584.0
Oct,2023,    Malaysia,248722.0
Oct,2023,    Philippines,100964.0
Oct,2023,    Thailand,221225.0
Oct,2023,    Vietnam,95429.0
Oct,2023,  North East Asia,650873.0
Oct,2023,    Mainland China,224456.0
Oct,2023,    Hong Kong,91481.0
Oct,2023,    Japan,134891.0
Oct,2023,  South Asia,256757.0
Oct,2023,  Middle East,70734.0
Oct,2023,  Oceania,301941.0
Oct,2023,  Europe,185613.0
Oct,2023,    France,23806.0
Oct,2023,    Germany,37103.0
Oct,2023,    United Kingdom,51708.0
Oct,2023,  North America,46822.0
Oct,2023,  Other Regions,8928.0
Sep,2023,Number Of Air Passenger Departures,2388208.0
Sep,2023,  South East Asia,976200.0
Sep,2023,    Indonesia,288413.0
Sep,2023,    Malaysia,257482.0
Sep,2023,    Philippines,100770.0
Sep,2023,    Thailand,198631.0
Sep,2023,    Vietnam,93052.0
Sep,2023,  North East Asia,545509.0
Sep,2023,    Mainland China,190568.0
Sep,2023,    Hong Kong,76001.0
Sep,2023,    Japan,119603.0
Sep,2023,  South Asia,221130.0
Sep,2023,  Middle East,87177.0
Sep,2023,  Oceania,281890.0
Sep,2023,  Europe,212904.0
Sep,2023,    France,26999.0
Sep,2023,    Germany,41477.0
Sep,2023,    United Kingdom,63181.0
Sep,2023,  North America,53960.0
Sep,2023,  Other Regions,9438.0
Aug,2023,Number Of Air Passenger Departures,2543189.0
Aug,2023,  South East Asia,1011911.0
Aug,2023,    Indonesia,296230.0
Aug,2023,    Malaysia,251852.0
Aug,2023,    Philippines,115602.0
Aug,2023,    Thailand,207933.0
Aug,2023,    Vietnam,98781.0
Aug,2023,  North East Asia,640856.0
Aug,2023,    Mainland China,266785.0
Aug,2023,    Hong Kong,81706.0
Aug,2023,    Japan,116749.0
Aug,2023,  South Asia,227872.0
Aug,2023,  Middle East,88475.0
Aug,2023,  Oceania,282178.0
Aug,2023,  Europe,221335.0
Aug,2023,    France,27662.0
Aug,2023,    Germany,45140.0
Aug,2023,    United Kingdom,64656.0
Aug,2023,  North America,60520.0
Aug,2023,  Other Regions,10042.0
Jul,2023,Number Of Air Passenger Departures,2518522.0
Jul,2023,  South East Asia,1085088.0
Jul,2023,    Indonesia,346196.0
Jul,2023,    Malaysia,261080.0
Jul,2023,    Philippines,129698.0
Jul,2023,    Thailand,204317.0
Jul,2023,    Vietnam,103139.0
Jul,2023,  North East Asia,537291.0
Jul,2023,    Mainland China,211875.0
Jul,2023,    Hong Kong,70789.0
Jul,2023,    Japan,99008.0
Jul,2023,  South Asia,230014.0
Jul,2023,  Middle East,76172.0
Jul,2023,  Oceania,307860.0
Jul,2023,  Europe,211877.0
Jul,2023,    France,25798.0
Jul,2023,    Germany,41749.0
Jul,2023,    United Kingdom,66770.0
Jul,2023,  North America,60062.0
Jul,2023,  Other Regions,10158.0
Jun,2023,Number Of Air Passenger Departures,2492201.0
Jun,2023,  South East Asia,1072446.0
Jun,2023,    Indonesia,297064.0
Jun,2023,    Malaysia,284935.0
Jun,2023,    Philippines,130594.0
Jun,2023,    Thailand,216895.0
Jun,2023,    Vietnam,102865.0
Jun,2023,  North East Asia,533127.0
Jun,2023,    Mainland China,170581.0
Jun,2023,    Hong Kong,77530.0
Jun,2023,    Japan,112475.0
Jun,2023,  South Asia,270077.0
Jun,2023,  Middle East,77052.0
Jun,2023,  Oceania,263281.0
Jun,2023,  Europe,210702.0
Jun,2023,    France,23407.0
Jun,2023,    Germany,44345.0
Jun,2023,    United Kingdom,64978.0
Jun,2023,  North America,55799.0
Jun,2023,  Other Regions,9717.0
May,2023,Number Of Air Passenger Departures,2416651.0
May,2023,  South East Asia,1016642.0
May,2023,    Indonesia,297376.0
May,2023,    Malaysia,249761.0
May,2023,    Philippines,119130.0
May,2023,    Thailand,205833.0
May,2023,    Vietnam,102171.0
May,2023,  North East Asia,522867.0
May,2023,    Mainland China,156623.0
May,2023,    Hong Kong,81104.0
May,2023,    Japan,118111.0
May,2023,  South Asia,251907.0
May,2023,  Middle East,82277.0
May,2023,  Oceania,268632.0
May,2023,  Europe,208380.0
May,2023,    France,23328.0
May,2023,    Germany,44171.0
May,2023,    United Kingdom,63065.0
May,2023,  North America,56810.0
May,2023,  Other Regions,9136.0
Apr,2023,Number Of Air Passenger Departures,2256075.0
Apr,2023,  South East Asia,945849.0
Apr,2023,    Indonesia,254622.0
Apr,2023,    Malaysia,231352.0
Apr,2023,    Philippines,115894.0
Apr,2023,    Thailand,205921.0
Apr,2023,    Vietnam,96153.0
Apr,2023,  North East Asia,470855.0
Apr,2023,    Mainland China,117920.0
Apr,2023,    Hong Kong,76242.0
Apr,2023,    Japan,113762.0
Apr,2023,  South Asia,220753.0
Apr,2023,  Middle East,77974.0
Apr,2023,  Oceania,267162.0
Apr,2023,  Europe,209706.0
Apr,2023,    France,22681.0
Apr,2023,    Germany,47226.0
Apr,2023,    United Kingdom,62538.0
Apr,2023,  North America,54764.0
Apr,2023,  Other Regions,9012.0
Mar,2023,Number Of Air Passenger Departures,2300042.0
Mar,2023,  South East Asia,987984.0
Mar,2023,    Indonesia,258118.0
Mar,2023,    Malaysia,257769.0
Mar,2023,    Philippines,113075.0
Mar,2023,    Thailand,217201.0
Mar,2023,    Vietnam,99121.0
Mar,2023,  North East Asia,460584.0
Mar,2023,    Mainland China,87393.0
Mar,2023,    Hong Kong,72582.0
Mar,2023,    Japan,129542.0
Mar,2023,  South Asia,214093.0
Mar,2023,  Middle East,84177.0
Mar,2023,  Oceania,277963.0
Mar,2023,  Europe,209828.0
Mar,2023,    France,22848.0
Mar,2023,    Germany,48554.0
Mar,2023,    United Kingdom,62851.0
Mar,2023,  North America,57661.0
Mar,2023,  Other Regions,7752.0
Feb,2023,Number Of Air Passenger Departures,1968204.0
Feb,2023,  South East Asia,842426.0
Feb,2023,    Indonesia,221396.0
Feb,2023,    Malaysia,195403.0
Feb,2023,    Philippines,103708.0
Feb,2023,    Thailand,196873.0
Feb,2023,    Vietnam,85879.0
Feb,2023,  North East Asia,359764.0
Feb,2023,    Mainland China,39762.0
Feb,2023,    Hong Kong,64846.0
Feb,2023,    Japan,99646.0
Feb,2023,  South Asia,191658.0
Feb,2023,  Middle East,73240.0
Feb,2023,  Oceania,267479.0
Feb,2023,  Europe,175551.0
Feb,2023,    France,18716.0
Feb,2023,    Germany,42254.0
Feb,2023,    United Kingdom,50882.0
Feb,2023,  North America,51656.0
Feb,2023,  Other Regions,6430.0
Jan,2023,Number Of Air Passenger Departures,2071973.0
Jan,2023,  South East Asia,921481.0
Jan,2023,    Indonesia,236894.0
Jan,2023,    Malaysia,232232.0
Jan,2023,    Philippines,110515.0
Jan,2023,    Thailand,195388.0
Jan,2023,    Vietnam,102736.0
Jan,2023,  North East Asia,313574.0
Jan,2023,    Mainland China,31925.0
Jan,2023,    Hong Kong,55876.0
Jan,2023,    Japan,93387.0
Jan,2023,  South Asia,214857.0
Jan,2023,  Middle East,67136.0
Jan,2023,  Oceania,302022.0
Jan,2023,  Europe,183149.0
Jan,2023,    France,20474.0
Jan,2023,    Germany,43930.0
Jan,2023,    United Kingdom,53678.0
Jan,2023,  North America,62427.0
Jan,2023,  Other Regions,7327.0
Dec,2022,Number Of Air Passenger Departures,2279572.0
Dec,2022,  South East Asia,1057678.0
Dec,2022,    Indonesia,246811.0
Dec,2022,    Malaysia,273910.0
Dec,2022,    Philippines,133346.0
Dec,2022,    Thailand,238316.0
Dec,2022,    Vietnam,119764.0
Dec,2022,  North East Asia,356820.0
Dec,2022,    Mainland China,25962.0
Dec,2022,    Hong Kong,45287.0
Dec,2022,    Japan,122794.0
Dec,2022,  South Asia,261273.0
Dec,2022,  Middle East,82980.0
Dec,2022,  Oceania,266733.0
Dec,2022,  Europe,186833.0
Dec,2022,    France,23504.0
Dec,2022,    Germany,44058.0
Dec,2022,    United Kingdom,53624.0
Dec,2022,  North America,59731.0
Dec,2022,  Other Regions,7524.0
Nov,2022,Number Of Air Passenger Departures,2003017.0
Nov,2022,  South East Asia,908437.0
Nov,2022,    Indonesia,219323.0
Nov,2022,    Malaysia,220585.0
Nov,2022,    Philippines,119526.0
Nov,2022,    Thailand,207589.0
Nov,2022,    Vietnam,99092.0
Nov,2022,  North East Asia,269882.0
Nov,2022,    Mainland China,18977.0
Nov,2022,    Hong Kong,30993.0
Nov,2022,    Japan,96943.0
Nov,2022,  South Asia,246078.0
Nov,2022,  Middle East,73123.0
Nov,2022,  Oceania,270902.0
Nov,2022,  Europe,176459.0
Nov,2022,    France,19482.0
Nov,2022,    Germany,42265.0
Nov,2022,    United Kingdom,51632.0
Nov,2022,  North America,51189.0
Nov,2022,  Other Regions,6947.0
Oct,2022,Number Of Air Passenger Departures,1829816.0
Oct,2022,  South East Asia,849981.0
Oct,2022,    Indonesia,203274.0
Oct,2022,    Malaysia,213676.0
Oct,2022,    Philippines,106538.0
Oct,2022,    Thailand,193426.0
Oct,2022,    Vietnam,95058.0
Oct,2022,  North East Asia,191276.0
Oct,2022,    Mainland China,11376.0
Oct,2022,    Hong Kong,25196.0
Oct,2022,    Japan,61321.0
Oct,2022,  South Asia,226397.0
Oct,2022,  Middle East,65709.0
Oct,2022,  Oceania,271486.0
Oct,2022,  Europe,170289.0
Oct,2022,    France,17766.0
Oct,2022,    Germany,40970.0
Oct,2022,    United Kingdom,44355.0
Oct,2022,  North America,47274.0
Oct,2022,  Other Regions,7404.0
Sep,2022,Number Of Air Passenger Departures,1667116.0
Sep,2022,  South East Asia,763986.0
Sep,2022,    Indonesia,183259.0
Sep,2022,    Malaysia,201690.0
Sep,2022,    Philippines,90927.0
Sep,2022,    Thailand,164899.0
Sep,2022,    Vietnam,89951.0
Sep,2022,  North East Asia,138713.0
Sep,2022,    Mainland China,10155.0
Sep,2022,    Hong Kong,14802.0
Sep,2022,    Japan,43439.0
Sep,2022,  South Asia,198694.0
Sep,2022,  Middle East,71333.0
Sep,2022,  Oceania,255185.0
Sep,2022,  Europe,180921.0
Sep,2022,    France,18484.0
Sep,2022,    Germany,43123.0
Sep,2022,    United Kingdom,50611.0
Sep,2022,  North America,50995.0
Sep,2022,  Other Regions,7289.0
Aug,2022,Number Of Air Passenger Departures,1611674.0
Aug,2022,  South East Asia,725935.0
Aug,2022,    Indonesia,165971.0
Aug,2022,    Malaysia,179201.0
Aug,2022,    Philippines,96783.0
Aug,2022,    Thailand,160388.0
Aug,2022,    Vietnam,87279.0
Aug,2022,  North East Asia,132911.0
Aug,2022,    Mainland China,8324.0
Aug,2022,    Hong Kong,13803.0
Aug,2022,    Japan,43511.0
Aug,2022,  South Asia,187576.0
Aug,2022,  Middle East,68221.0
Aug,2022,  Oceania,254450.0
Aug,2022,  Europe,177182.0
Aug,2022,    France,17416.0
Aug,2022,    Germany,42430.0
Aug,2022,    United Kingdom,47953.0
Aug,2022,  North America,58395.0
Aug,2022,  Other Regions,7004.0
Jul,2022,Number Of Air Passenger Departures,1587229.0
Jul,2022,  South East Asia,735812.0
Jul,2022,    Indonesia,165185.0
Jul,2022,    Malaysia,184623.0
Jul,2022,    Philippines,102151.0
Jul,2022,    Thailand,157474.0
Jul,2022,    Vietnam,90027.0
Jul,2022,  North East Asia,103610.0
Jul,2022,    Mainland China,6408.0
Jul,2022,    Hong Kong,8674.0
Jul,2022,    Japan,32328.0
Jul,2022,  South Asia,188224.0
Jul,2022,  Middle East,56495.0
Jul,2022,  Oceania,263543.0
Jul,2022,  Europe,175112.0
Jul,2022,    France,16962.0
Jul,2022,    Germany,40266.0
Jul,2022,    United Kingdom,46863.0
Jul,2022,  North America,56899.0
Jul,2022,  Other Regions,7534.0
Jun,2022,Number Of Air Passenger Departures,1430792.0
Jun,2022,  South East Asia,670359.0
Jun,2022,    Indonesia,149084.0
Jun,2022,    Malaysia,177415.0
Jun,2022,    Philippines,92026.0
Jun,2022,    Thailand,139171.0
Jun,2022,    Vietnam,80763.0
Jun,2022,  North East Asia,89873.0
Jun,2022,    Mainland China,6912.0
Jun,2022,    Hong Kong,6658.0
Jun,2022,    Japan,30880.0
Jun,2022,  South Asia,201134.0
Jun,2022,  Middle East,43099.0
Jun,2022,  Oceania,195529.0
Jun,2022,  Europe,173446.0
Jun,2022,    France,17934.0
Jun,2022,    Germany,43541.0
Jun,2022,    United Kingdom,43587.0
Jun,2022,  North America,50431.0
Jun,2022,  Other Regions,6921.0
May,2022,Number Of Air Passenger Departures,1212096.0
May,2022,  South East Asia,562971.0
May,2022,    Indonesia,140139.0
May,2022,    Malaysia,141296.0
May,2022,    Philippines,80416.0
May,2022,    Thailand,106799.0
May,2022,    Vietnam,65733.0
May,2022,  North East Asia,69098.0
May,2022,    Mainland China,4641.0
May,2022,    Hong Kong,7477.0
May,2022,    Japan,26334.0
May,2022,  South Asia,172109.0
May,2022,  Middle East,36244.0
May,2022,  Oceania,179554.0
May,2022,  Europe,141546.0
May,2022,    France,12498.0
May,2022,    Germany,33118.0
May,2022,    United Kingdom,34170.0
May,2022,  North America,45084.0
May,2022,  Other Regions,5490.0
Apr,2022,Number Of Air Passenger Departures,951502.0
Apr,2022,  South East Asia,404796.0
Apr,2022,    Indonesia,99486.0
Apr,2022,    Malaysia,87560.0
Apr,2022,    Philippines,68828.0
Apr,2022,    Thailand,71805.0
Apr,2022,    Vietnam,51046.0
Apr,2022,  North East Asia,49687.0
Apr,2022,    Mainland China,3002.0
Apr,2022,    Hong Kong,6243.0
Apr,2022,    Japan,19839.0
Apr,2022,  South Asia,149210.0
Apr,2022,  Middle East,22349.0
Apr,2022,  Oceania,159298.0
Apr,2022,  Europe,122957.0
Apr,2022,    France,9986.0
Apr,2022,    Germany,27907.0
Apr,2022,    United Kingdom,33429.0
Apr,2022,  North America,37264.0
Apr,2022,  Other Regions,5941.0
Mar,2022,Number Of Air Passenger Departures,565823.0
Mar,2022,  South East Asia,208515.0
Mar,2022,    Indonesia,42417.0
Mar,2022,    Malaysia,45516.0
Mar,2022,    Philippines,41339.0
Mar,2022,    Thailand,38637.0
Mar,2022,    Vietnam,21335.0
Mar,2022,  North East Asia,30538.0
Mar,2022,    Mainland China,2199.0
Mar,2022,    Hong Kong,1843.0
Mar,2022,    Japan,13594.0
Mar,2022,  South Asia,86831.0
Mar,2022,  Middle East,18870.0
Mar,2022,  Oceania,105010.0
Mar,2022,  Europe,87934.0
Mar,2022,    France,9075.0
Mar,2022,    Germany,16022.0
Mar,2022,    United Kingdom,28869.0
Mar,2022,  North America,24546.0
Mar,2022,  Other Regions,3579.0
Feb,2022,Number Of Air Passenger Departures,334406.0
Feb,2022,  South East Asia,113276.0
Feb,2022,    Indonesia,16715.0
Feb,2022,    Malaysia,27461.0
Feb,2022,    Philippines,18073.0
Feb,2022,    Thailand,21900.0
Feb,2022,    Vietnam,12705.0
Feb,2022,  North East Asia,19919.0
Feb,2022,    Mainland China,3910.0
Feb,2022,    Hong Kong,1253.0
Feb,2022,    Japan,4963.0
Feb,2022,  South Asia,44052.0
Feb,2022,  Middle East,9575.0
Feb,2022,  Oceania,82201.0
Feb,2022,  Europe,50519.0
Feb,2022,    France,4887.0
Feb,2022,    Germany,7787.0
Feb,2022,    United Kingdom,17865.0
Feb,2022,  North America,13595.0
Feb,2022,  Other Regions,1269.0
Jan,2022,Number Of Air Passenger Departures,323007.0
Jan,2022,  South East Asia,106257.0
Jan,2022,    Indonesia,18250.0
Jan,2022,    Malaysia,37061.0
Jan,2022,    Philippines,11405.0
Jan,2022,    Thailand,16185.0
Jan,2022,    Vietnam,6512.0
Jan,2022,  North East Asia,20659.0
Jan,2022,    Mainland China,5752.0
Jan,2022,    Hong Kong,637.0
Jan,2022,    Japan,5583.0
Jan,2022,  South Asia,45489.0
Jan,2022,  Middle East,7969.0
Jan,2022,  Oceania,69408.0
Jan,2022,  Europe,57338.0
Jan,2022,    France,5332.0
Jan,2022,    Germany,9738.0
Jan,2022,    United Kingdom,20154.0
Jan,2022,  North America,15462.0
Jan,2022,  Other Regions,425.0
Dec,2021,Number Of Air Passenger Departures,418214.0
Dec,2021,  South East Asia,136491.0
Dec,2021,    Indonesia,22810.0
Dec,2021,    Malaysia,44873.0
Dec,2021,    Philippines,14551.0
Dec,2021,    Thailand,38581.0
Dec,2021,    Vietnam,1065.0
Dec,2021,  North East Asia,33551.0
Dec,2021,    Mainland China,7100.0
Dec,2021,    Hong Kong,1291.0
Dec,2021,    Japan,10095.0
Dec,2021,  South Asia,73604.0
Dec,2021,  Middle East,15837.0
Dec,2021,  Oceania,53161.0
Dec,2021,  Europe,83159.0
Dec,2021,    France,10213.0
